"RK","PLAYER NAME",TEAM,"OPP","MATCHUP ","START/SIT","PROJ. FPTS"
"1","Christian McCaffrey",SF,"at SEA","3 out of 5 stars","A+","20.5"
"2","Travis Etienne Jr.",JAC,"at HOU","3 out of 5 stars","A+","16.4"
"3","Austin Ekeler",LAC,"vs. BAL","4 out of 5 stars","A+","15.5"
"4","Jonathan Taylor",IND,"vs. TB","2 out of 5 stars","A+","14.7"
"5","Alvin Kamara",NO,"at ATL","3 out of 5 stars","A","14.7"
"6","Jahmyr Gibbs",DET,"vs. GB","4 out of 5 stars","A","14.3"
"7","Tony Pollard",DAL,"vs. WAS","4 out of 5 stars","A","14.3"
"8","Josh Jacobs",LV,"vs. KC","3 out of 5 stars","A","13.9"
"9","Saquon Barkley",NYG,"vs. NE","3 out of 5 stars","A","13.8"
"10","Derrick Henry",TEN,"vs. CAR","5 out of 5 stars","A","13.8"
"11","D'Andre Swift",PHI,"vs. BUF","4 out of 5 stars","A","13.5"
"12","Rachaad White",TB,"at IND","3 out of 5 stars","A-","13.4"
"13","Breece Hall",NYJ,"vs. MIA","5 out of 5 stars","A-","13.4"
"14","David Montgomery",DET,"vs. GB","4 out of 5 stars","A-","13.3"
"15","Bijan Robinson",ATL,"vs. NO","3 out of 5 stars","B+","13.3"
"16","Isiah Pacheco",KC,"at LV","5 out of 5 stars","B","12.8"
"17","Raheem Mostert",MIA,"at NYJ","2 out of 5 stars","B+","12.8"
"18","Joe Mixon",CIN,"vs. PIT","2 out of 5 stars","B","12.7"
"19","Kyren Williams",LAR,"at ARI","4 out of 5 stars","B","12.5"
"20","James Conner",ARI,"vs. LAR","3 out of 5 stars","B","12.5"
"21","Rhamondre Stevenson",NE,"at NYG","4 out of 5 stars","B-","12.2"
"22","Javonte Williams",DEN,"vs. CLE","2 out of 5 stars","B","12.0"
"23","Zach Charbonnet",SEA,"vs. SF","3 out of 5 stars","B-","11.7"
"24","Brian Robinson Jr.",WAS,"at DAL","3 out of 5 stars","C+","11.7"
"25","Jaylen Warren",PIT,"at CIN","4 out of 5 stars","C+","11.5"
"26","Jerome Ford",CLE,"at DEN","4 out of 5 stars","C+","11.4"
"27","Devin Singletary",HOU,"vs. JAC","3 out of 5 stars","C+","10.8"
"28","AJ Dillon",GB,"at DET","2 out of 5 stars","C+","10.4"
"29","Gus Edwards",BAL,"at LAC","2 out of 5 stars","C+","9.9"
"30","James Cook",BUF,"at PHI","2 out of 5 stars","C","9.7"
"31","Najee Harris",PIT,"at CIN","4 out of 5 stars","C","9.5"
"32","Alexander Mattison",MIN,"vs. CHI","2 out of 5 stars","C","9.5"
"33","Khalil Herbert",CHI,"at MIN","2 out of 5 stars","C","9.3"
"34","Chuba Hubbard",CAR,"at TEN","3 out of 5 stars","C","8.3"
"35","Kareem Hunt",CLE,"at DEN","4 out of 5 stars","C-","7.8"
"36","Keaton Mitchell",BAL,"at LAC","2 out of 5 stars","C-","7.5"
"37","Ty Chandler",MIN,"vs. CHI","2 out of 5 stars","C-","7.3"
"38","Tyler Allgeier",ATL,"vs. NO","3 out of 5 stars","C-","7.2"
"39","Ezekiel Elliott",NE,"at NYG","4 out of 5 stars","C-","7.2"
"40","Tyjae Spears",TEN,"vs. CAR","5 out of 5 stars","D+","7.1"
"41","Miles Sanders",CAR,"at TEN","3 out of 5 stars","D","7.1"
"42","Rico Dowdle",DAL,"vs. WAS","4 out of 5 stars","D","6.4"
"43","Royce Freeman",LAR,"at ARI","4 out of 5 stars","D","6.3"
"44","Dameon Pierce",HOU,"vs. JAC","3 out of 5 stars","D","6.1"
"45","Latavius Murray",BUF,"at PHI","2 out of 5 stars","D-","6.1"
"46","Zack Moss",IND,"vs. TB","2 out of 5 stars","F","5.7"
"47","Kenneth Gainwell",PHI,"vs. BUF","4 out of 5 stars","F","5.4"
"48","Samaje Perine",DEN,"vs. CLE","2 out of 5 stars","F","5.3"
"49","Jerick McKinnon",KC,"at LV","5 out of 5 stars","F","4.9"
"50","Jaleel McLaughlin",DEN,"vs. CLE","2 out of 5 stars","F","4.7"
"51","Antonio Gibson",WAS,"at DAL","3 out of 5 stars","D-","4.5"
"52","Roschon Johnson",CHI,"at MIN","2 out of 5 stars","F","4.3"
"53","D'Onta Foreman",CHI,"at MIN","2 out of 5 stars","F","4.3"
"54","Jeff Wilson Jr.",MIA,"at NYJ","2 out of 5 stars","F","4.3"
"55","Joshua Kelley",LAC,"vs. BAL","4 out of 5 stars","F","4.0"
"56","Elijah Mitchell",SF,"at SEA","3 out of 5 stars","F","4.0"
"57","Jamaal Williams",NO,"at ATL","3 out of 5 stars","F","4.0"
"58","Dalvin Cook",NYJ,"vs. MIA","5 out of 5 stars","F","3.8"
"59","D'Ernest Johnson",JAC,"at HOU","3 out of 5 stars","F","3.8"
"60","Chase Edmonds",TB,"at IND","3 out of 5 stars","F","3.7"
"61","Justice Hill",BAL,"at LAC","2 out of 5 stars","F","3.6"
"62","Matt Breida",NYG,"vs. NE","3 out of 5 stars","F","3.0"
"63","Chris Rodriguez Jr.",WAS,"at DAL","3 out of 5 stars","F","2.7"
"64","Clyde Edwards-Helaire",KC,"at LV","5 out of 5 stars","F","2.6"
"65","De'Von Achane",MIA,"at NYJ","2 out of 5 stars","F","2.6"
"66","Tank Bigsby",JAC,"at HOU","3 out of 5 stars","F","2.3"
"67","DeeJay Dallas",SEA,"vs. SF","3 out of 5 stars","F","2.0"
"68","Trayveon Williams",CIN,"vs. PIT","2 out of 5 stars","F","1.9"
"69","Israel Abanikanda",NYJ,"vs. MIA","5 out of 5 stars","F","1.9"
"70","Ty Johnson",BUF,"at PHI","2 out of 5 stars","F","1.9"
"71","Kyle Juszczyk",SF,"at SEA","3 out of 5 stars","F","1.9"
"72","Mike Boone",HOU,"vs. JAC","3 out of 5 stars","F","1.8"
"73","Ameer Abdullah",LV,"vs. KC","3 out of 5 stars","F","1.7"
"74","Alec Ingold",MIA,"at NYJ","2 out of 5 stars","F","1.7"
"75","Cordarrelle Patterson",ATL,"vs. NO","3 out of 5 stars","F","1.7"
"76","Patrick Taylor Jr.",GB,"at DET","2 out of 5 stars","F","1.6"
"77","Zamir White",LV,"vs. KC","3 out of 5 stars","F","1.5"
"78","Kendre Miller",NO,"at ATL","3 out of 5 stars","F","1.4"
"79","Raheem Blackshear",CAR,"at TEN","3 out of 5 stars","F","1.4"
"80","Pierre Strong Jr.",CLE,"at DEN","4 out of 5 stars","F","1.4"
"81","Michael Carter",ARI,"vs. LAR","3 out of 5 stars","F","1.2"
"82","Boston Scott",PHI,"vs. BUF","4 out of 5 stars","F","1.1"
"83","Jordan Mason",SF,"at SEA","3 out of 5 stars","F","0.9"
"84","Keaontay Ingram",ARI,"vs. LAR","3 out of 5 stars","F","0.7"
"85","Patrick Ricard",BAL,"at LAC","2 out of 5 stars","F","0.7"
"86","James Robinson",GB,"at DET","2 out of 5 stars","F","0.7"
"87","Kenny McIntosh",SEA,"vs. SF","3 out of 5 stars","F","0.6"
"88","Emanuel Wilson",GB,"at DET","2 out of 5 stars","F","0.6"
"89","Craig Reynolds",DET,"vs. GB","4 out of 5 stars","F","0.5"
"90","Hunter Luepke",DAL,"vs. WAS","4 out of 5 stars","F","0.4"
"91","Emari Demercado",ARI,"vs. LAR","3 out of 5 stars","F","0.4"
"92","Khari Blasingame",CHI,"at MIN","2 out of 5 stars","F","0.4"
"93","Leonard Fournette",BUF,"at PHI","2 out of 5 stars","F","0.3"
"94","Kene Nwangwu",MIN,"vs. CHI","2 out of 5 stars","F","0.3"
"95","C.J. Ham",MIN,"vs. CHI","2 out of 5 stars","F","0.3"
"96","Kenneth Walker III",SEA,"vs. SF","3 out of 5 stars","F","0.3"
"97","Darrell Henderson Jr.",LAR,"at ARI","4 out of 5 stars","F","0.3"
"98","Keith Smith",ATL,"vs. NO","3 out of 5 stars","F","0.3"
"99","Salvon Ahmed",MIA,"at NYJ","2 out of 5 stars","F","0.3"
"100","Tony Jones Jr.",NO,"at ATL","3 out of 5 stars","F","0.3"
"101","Michael Burton",DEN,"vs. CLE","2 out of 5 stars","F","0.0"
"102","Jashaun Corbin",NYG,"vs. NE","3 out of 5 stars","F","0.0"
"103","Reggie Gilliam",BUF,"at PHI","2 out of 5 stars","F","0.0"
"104","Dare Ogunbowale",HOU,"vs. JAC","3 out of 5 stars","F","0.0"
"105","Ke'Shawn Vaughn",TB,"at IND","3 out of 5 stars","F","0.0"
"106","Myles Gaskin",MIN,"vs. CHI","2 out of 5 stars","F","0.0"
"107","Derrick Gore",WAS,"at DAL","3 out of 5 stars","F","0.0"
"108","Chris Evans",CIN,"vs. PIT","2 out of 5 stars","F","0.0"
"109","Ty Montgomery II",NE,"at NYG","4 out of 5 stars","F","0.0"
"110","Sean Tucker",TB,"at IND","3 out of 5 stars","F","0.0"
"111","Zach Evans",LAR,"at ARI","4 out of 5 stars","F","0.0"
"112","Nick Bawden",NYJ,"vs. MIA","5 out of 5 stars","F","0.0"
"113","Trey Sermon",IND,"vs. TB","2 out of 5 stars","F","0.0"
"114","Deuce Vaughn",DAL,"vs. WAS","4 out of 5 stars","F","0.0"
"115","Isaiah Spiller",LAC,"vs. BAL","4 out of 5 stars","F","0.0"
"116","Anthony McFarland Jr.",PIT,"at CIN","4 out of 5 stars","F","0.0"