PLAYER NAME,TEAM,SOS SEASON,SOS PLAYOFFS,PROJ. FPTS,ECR VS. ADP
Jalen Hurts,PHI,2 out of 5 stars,5 out of 5 stars,225.0,+1
Josh Allen,BUF,3 out of 5 stars,4 out of 5 stars,223.0,+1
Justin Herbert,LAC,4 out of 5 stars,3 out of 5 stars,222.2,+1
Patrick Mahomes II,KC,4 out of 5 stars,3 out of 5 stars,221.0,-2
Lamar Jackson,BAL,4 out of 5 stars,3 out of 5 stars,205.0,0
Joe Burrow,CIN,1 out of 5 stars,2 out of 5 stars,204.6,-2
Tua Tagovailoa,MIA,2 out of 5 stars,0 out of 5 stars,194.0,+5
C.J. Stroud,HOU,4 out of 5 stars,4 out of 5 stars,188.1,+11
Geno Smith,SEA,1 out of 5 stars,4 out of 5 stars,184.8,+1
Trevor Lawrence,JAC,1 out of 5 stars,1 out of 5 stars,181.0,0
Dak Prescott,DAL,4 out of 5 stars,3 out of 5 stars,180.4,-7
Jordan Love,GB,3 out of 5 stars,2 out of 5 stars,178.2,+8
Justin Fields,CHI,4 out of 5 stars,4 out of 5 stars,175.0,-2
Jared Goff,DET,5 out of 5 stars,3 out of 5 stars,174.0,+7
Brock Purdy,SF,4 out of 5 stars,4 out of 5 stars,174.0,+8
Kirk Cousins,MIN,4 out of 5 stars,4 out of 5 stars,173.0,+2
Matthew Stafford,LAR,3 out of 5 stars,3 out of 5 stars,165.0,+8
Sam Howell,WAS,3 out of 5 stars,1 out of 5 stars,165.0,+9
Russell Wilson,DEN,4 out of 5 stars,5 out of 5 stars,164.0,+2
Deshaun Watson,CLE,4 out of 5 stars,3 out of 5 stars,160.6,-11
Baker Mayfield,TB,2 out of 5 stars,2 out of 5 stars,155.1,+8
Bryce Young,CAR,3 out of 5 stars,3 out of 5 stars,149.6,-4
Kenny Pickett,PIT,4 out of 5 stars,3 out of 5 stars,144.1,-8
Daniel Jones,NYG,2 out of 5 stars,2 out of 5 stars,144.0,-8
Kyler Murray,ARI,2 out of 5 stars,4 out of 5 stars,141.0,+3
Derek Carr,NO,3 out of 5 stars,3 out of 5 stars,139.0,-3
Gardner Minshew II,IND,2 out of 5 stars,2 out of 5 stars,136.0,-
Desmond Ridder,ATL,3 out of 5 stars,3 out of 5 stars,134.0,+5
Jimmy Garoppolo,LV,4 out of 5 stars,3 out of 5 stars,129.0,-2
Zach Wilson,NYJ,4 out of 5 stars,4 out of 5 stars,123.2,+11
Mac Jones,NE,4 out of 5 stars,3 out of 5 stars,120.0,-1
Joshua Dobbs,ARI,2 out of 5 stars,4 out of 5 stars,117.0,+8
Ryan Tannehill,TEN,3 out of 5 stars,3 out of 5 stars,40.7,-3
Malik Willis,TEN,3 out of 5 stars,3 out of 5 stars,39.6,-
Will Levis,TEN,3 out of 5 stars,3 out of 5 stars,27.5,-
Tyson Bagent,CHI,4 out of 5 stars,4 out of 5 stars,26.4,-
Aidan O'Connell,LV,4 out of 5 stars,3 out of 5 stars,25.3,0
Tyrod Taylor,NYG,2 out of 5 stars,2 out of 5 stars,25.0,-
Taylor Heinicke,ATL,3 out of 5 stars,3 out of 5 stars,23.0,-
P.J. Walker,CLE,4 out of 5 stars,3 out of 5 stars,19.8,-
Jameis Winston,NO,3 out of 5 stars,3 out of 5 stars,17.0,-
Jacoby Brissett,WAS,3 out of 5 stars,1 out of 5 stars,17.0,-
Andy Dalton,CAR,3 out of 5 stars,3 out of 5 stars,16.5,-
Bailey Zappe,NE,4 out of 5 stars,3 out of 5 stars,15.4,-
Kyle Trask,TB,2 out of 5 stars,2 out of 5 stars,14.3,-4
Sam Darnold,SF,4 out of 5 stars,4 out of 5 stars,14.0,+3
Mitch Trubisky,PIT,4 out of 5 stars,3 out of 5 stars,13.2,+8
Dorian Thompson-Robinson,CLE,4 out of 5 stars,3 out of 5 stars,13.2,-
Trey Lance,DAL,4 out of 5 stars,3 out of 5 stars,13.2,-17
Malik Cunningham,NE,4 out of 5 stars,3 out of 5 stars,13.2,-14
Mike White,MIA,2 out of 5 stars,0 out of 5 stars,13.0,+2
Trevor Siemian,NYJ,4 out of 5 stars,4 out of 5 stars,12.1,-
Carson Wentz,FA,-,-,12.1,-
Jarrett Stidham,DEN,4 out of 5 stars,5 out of 5 stars,12.0,-
Clayton Tune,ARI,2 out of 5 stars,4 out of 5 stars,11.0,-12
Tyler Huntley,BAL,4 out of 5 stars,3 out of 5 stars,10.0,-
Teddy Bridgewater,DET,5 out of 5 stars,3 out of 5 stars,10.0,+9
Stetson Bennett,LAR,3 out of 5 stars,3 out of 5 stars,9.9,-8
Marcus Mariota,PHI,2 out of 5 stars,5 out of 5 stars,9.0,-6
Davis Mills,HOU,4 out of 5 stars,4 out of 5 stars,8.8,-
Cooper Rush,DAL,4 out of 5 stars,3 out of 5 stars,8.8,-1
Case Keenum,HOU,4 out of 5 stars,4 out of 5 stars,8.8,-
Drew Lock,SEA,1 out of 5 stars,4 out of 5 stars,8.8,+3
Sean Clifford,GB,3 out of 5 stars,2 out of 5 stars,8.8,+3
Tanner McKee,PHI,2 out of 5 stars,5 out of 5 stars,8.8,-
Hendon Hooker,DET,5 out of 5 stars,3 out of 5 stars,7.7,+2
Jake Haener,NO,3 out of 5 stars,3 out of 5 stars,6.6,-
Jaren Hall,MIN,4 out of 5 stars,4 out of 5 stars,6.6,-
Matt Ryan,FA,-,-,5.5,-21
Skylar Thompson,MIA,2 out of 5 stars,0 out of 5 stars,5.5,-
Brandon Allen,SF,4 out of 5 stars,4 out of 5 stars,4.0,-
Kyle Allen,BUF,3 out of 5 stars,4 out of 5 stars,3.0,-32
Nick Mullens,MIN,4 out of 5 stars,4 out of 5 stars,3.0,-
Blaine Gabbert,KC,4 out of 5 stars,3 out of 5 stars,2.2,-16
C.J. Beathard,JAC,1 out of 5 stars,1 out of 5 stars,2.0,-
Sam Ehlinger,IND,2 out of 5 stars,2 out of 5 stars,1.1,-
Feleipe Franks,ATL,3 out of 5 stars,3 out of 5 stars,0.0,-
Logan Woodside,ATL,3 out of 5 stars,3 out of 5 stars,0.0,-
Easton Stick,LAC,4 out of 5 stars,3 out of 5 stars,0.0,-
Mason Rudolph,PIT,4 out of 5 stars,3 out of 5 stars,0.0,-
Jake Browning,CIN,1 out of 5 stars,2 out of 5 stars,0.0,-23
Brian Hoyer,LV,4 out of 5 stars,3 out of 5 stars,0.0,-
Will Grier,NE,4 out of 5 stars,3 out of 5 stars,0.0,-
Ben DiNucci,DEN,4 out of 5 stars,5 out of 5 stars,0.0,-
Brett Rypien,LAR,3 out of 5 stars,3 out of 5 stars,0.0,-
Jake Fromm,WAS,3 out of 5 stars,1 out of 5 stars,0.0,-
Tim Boyle,NYJ,4 out of 5 stars,4 out of 5 stars,0.0,-
John Wolford,TB,2 out of 5 stars,2 out of 5 stars,0.0,-
Chris Oladokun,KC,4 out of 5 stars,3 out of 5 stars,0.0,-
David Blough,DET,5 out of 5 stars,3 out of 5 stars,0.0,-
Nathan Peterman,CHI,4 out of 5 stars,4 out of 5 stars,0.0,-
Shane Buechele,BUF,3 out of 5 stars,4 out of 5 stars,0.0,-
Josh Johnson,BAL,4 out of 5 stars,3 out of 5 stars,0.0,-
Kellen Mond,IND,2 out of 5 stars,2 out of 5 stars,-,-
Trace McSorley,CHI,4 out of 5 stars,4 out of 5 stars,-,-34
Jeff Driskel,FA,-,-,-,-
Jake Luton,CAR,3 out of 5 stars,3 out of 5 stars,-,-35
Matt Barkley,FA,-,-,-,-43
Reid Sinnett,FA,-,-,-,-
Anthony Brown,FA,-,-,-,-
Matt Corral,FA,-,-,-,-
Colt McCoy,FA,-,-,-,-
Ian Book,FA,-,-,-,-
Chris Streveler,FA,-,-,-,-
Chase Garbers,FA,-,-,-,-
Austin Ekeler,LAC,4 out of 5 stars,4 out of 5 stars,198,0
Christian McCaffrey,SF,2 out of 5 stars,3 out of 5 stars,183,0
Bijan Robinson,ATL,3 out of 5 stars,5 out of 5 stars,171.6,0
Tony Pollard,DAL,3 out of 5 stars,4 out of 5 stars,168.3,+3
Kenneth Walker III,SEA,2 out of 5 stars,2 out of 5 stars,163.9,+10
Breece Hall,NYJ,4 out of 5 stars,4 out of 5 stars,162.8,+8
Travis Etienne Jr.,JAC,4 out of 5 stars,4 out of 5 stars,157,+7
D'Andre Swift,PHI,2 out of 5 stars,3 out of 5 stars,147,+22
Derrick Henry,TEN,4 out of 5 stars,2 out of 5 stars,137.5,-7
Alvin Kamara,NO,3 out of 5 stars,3 out of 5 stars,136,+13
Saquon Barkley,NYG,3 out of 5 stars,2 out of 5 stars,136,-7
Josh Jacobs,LV,2 out of 5 stars,3 out of 5 stars,135,-4
Joe Mixon,CIN,3 out of 5 stars,2 out of 5 stars,134.2,-2
Aaron Jones,GB,3 out of 5 stars,4 out of 5 stars,130.9,-3
Jonathan Taylor,IND,4 out of 5 stars,4 out of 5 stars,128,+6
Jahmyr Gibbs,DET,4 out of 5 stars,2 out of 5 stars,127.6,-8
David Montgomery,DET,4 out of 5 stars,2 out of 5 stars,124,+17
Raheem Mostert,MIA,2 out of 5 stars,2 out of 5 stars,122,+25
Rachaad White,TB,4 out of 5 stars,4 out of 5 stars,118.8,+1
James Cook,BUF,2 out of 5 stars,2 out of 5 stars,118,+9
Isiah Pacheco,KC,5 out of 5 stars,4 out of 5 stars,117,+10
Dameon Pierce,HOU,3 out of 5 stars,2 out of 5 stars,115.5,-9
Rhamondre Stevenson,NE,4 out of 5 stars,3 out of 5 stars,114,-10
Kyren Williams,LAR,3 out of 5 stars,3 out of 5 stars,110,+59
Jerome Ford,CLE,3 out of 5 stars,3 out of 5 stars,110,+46
Brian Robinson Jr.,WAS,2 out of 5 stars,2 out of 5 stars,108,+12
Javonte Williams,DEN,2 out of 5 stars,2 out of 5 stars,106,+3
Alexander Mattison,MIN,5 out of 5 stars,4 out of 5 stars,105,-7
Najee Harris,PIT,3 out of 5 stars,3 out of 5 stars,103.4,-21
Jaylen Warren,PIT,3 out of 5 stars,3 out of 5 stars,103.4,+14
De'Von Achane,MIA,2 out of 5 stars,2 out of 5 stars,103.4,+8
Tyjae Spears,TEN,4 out of 5 stars,2 out of 5 stars,101.2,+29
Jaleel McLaughlin,DEN,2 out of 5 stars,2 out of 5 stars,101.2,+69
Roschon Johnson,CHI,2 out of 5 stars,3 out of 5 stars,99,+16
James Conner,ARI,2 out of 5 stars,2 out of 5 stars,96,-4
Chuba Hubbard,CAR,3 out of 5 stars,4 out of 5 stars,90.2,+24
Zack Moss,IND,4 out of 5 stars,4 out of 5 stars,90,+32
Zach Charbonnet,SEA,2 out of 5 stars,2 out of 5 stars,81.4,-1
Kareem Hunt,CLE,3 out of 5 stars,3 out of 5 stars,78.1,+13
Miles Sanders,CAR,3 out of 5 stars,4 out of 5 stars,74.8,-24
Tyler Allgeier,ATL,3 out of 5 stars,5 out of 5 stars,74,+9
AJ Dillon,GB,3 out of 5 stars,4 out of 5 stars,72.6,-13
Emari Demercado,ARI,2 out of 5 stars,2 out of 5 stars,71.5,-
Gus Edwards,BAL,3 out of 5 stars,4 out of 5 stars,71,+19
Justice Hill,BAL,3 out of 5 stars,4 out of 5 stars,69,-
Khalil Herbert,CHI,2 out of 5 stars,3 out of 5 stars,68,-11
Kenneth Gainwell,PHI,2 out of 5 stars,3 out of 5 stars,66,+4
Joshua Kelley,LAC,4 out of 5 stars,4 out of 5 stars,66,+21
Antonio Gibson,WAS,2 out of 5 stars,2 out of 5 stars,64,-13
D'Onta Foreman,CHI,2 out of 5 stars,3 out of 5 stars,63,+4
Cam Akers,MIN,5 out of 5 stars,4 out of 5 stars,61,-27
Jeff Wilson Jr.,MIA,2 out of 5 stars,2 out of 5 stars,61,+4
Devin Singletary,HOU,3 out of 5 stars,2 out of 5 stars,59.4,-6
Tank Bigsby,JAC,4 out of 5 stars,4 out of 5 stars,57.2,-11
Jerick McKinnon,KC,5 out of 5 stars,4 out of 5 stars,57,-14
Rico Dowdle,DAL,3 out of 5 stars,4 out of 5 stars,53.9,+44
Ezekiel Elliott,NE,4 out of 5 stars,3 out of 5 stars,53,-13
Elijah Mitchell,SF,2 out of 5 stars,3 out of 5 stars,52,-12
Samaje Perine,DEN,2 out of 5 stars,2 out of 5 stars,52,-21
Dalvin Cook,NYJ,4 out of 5 stars,4 out of 5 stars,50.6,-36
Kendre Miller,NO,3 out of 5 stars,3 out of 5 stars,50.6,-7
Jamaal Williams,NO,3 out of 5 stars,3 out of 5 stars,50,-25
Latavius Murray,BUF,2 out of 5 stars,2 out of 5 stars,50,+11
Pierre Strong Jr.,CLE,3 out of 5 stars,3 out of 5 stars,49.5,+43
Craig Reynolds,DET,4 out of 5 stars,2 out of 5 stars,46,-
Matt Breida,NYG,3 out of 5 stars,2 out of 5 stars,43,+41
Clyde Edwards-Helaire,KC,5 out of 5 stars,4 out of 5 stars,42,-4
Jordan Mason,SF,2 out of 5 stars,3 out of 5 stars,41,+23
Ronnie Rivers,LAR,3 out of 5 stars,3 out of 5 stars,40.7,-
Salvon Ahmed,MIA,2 out of 5 stars,2 out of 5 stars,40,-
Keaontay Ingram,ARI,2 out of 5 stars,2 out of 5 stars,39,+19
Michael Carter,NYJ,4 out of 5 stars,4 out of 5 stars,37.4,-2
Deuce Vaughn,DAL,3 out of 5 stars,4 out of 5 stars,36.3,-24
Keaton Mitchell,BAL,3 out of 5 stars,4 out of 5 stars,36.3,-
Damien Harris,BUF,2 out of 5 stars,2 out of 5 stars,36,-23
Zamir White,LV,2 out of 5 stars,3 out of 5 stars,35,-8
Cordarrelle Patterson,ATL,3 out of 5 stars,5 out of 5 stars,33,-17
Sean Tucker,TB,4 out of 5 stars,4 out of 5 stars,33,+5
Ty Chandler,MIN,5 out of 5 stars,4 out of 5 stars,31.9,-12
Chase Brown,CIN,3 out of 5 stars,2 out of 5 stars,31.9,-17
Rashaad Penny,PHI,2 out of 5 stars,3 out of 5 stars,31,-35
Trayveon Williams,CIN,3 out of 5 stars,2 out of 5 stars,29.7,+15
Darrell Henderson Jr.,LAR,3 out of 5 stars,3 out of 5 stars,29,-
Royce Freeman,LAR,3 out of 5 stars,3 out of 5 stars,29,-
Zach Evans,LAR,3 out of 5 stars,3 out of 5 stars,28.6,+15
Chris Evans,CIN,3 out of 5 stars,2 out of 5 stars,28.6,-
Boston Scott,PHI,2 out of 5 stars,3 out of 5 stars,28,-14
Melvin Gordon III,BAL,3 out of 5 stars,4 out of 5 stars,28,-
Chris Rodriguez Jr.,WAS,2 out of 5 stars,2 out of 5 stars,26.4,-
Leonard Fournette,FA,-,-,24.2,-32
Eric Gray,NYG,3 out of 5 stars,2 out of 5 stars,24.2,+15
Isaiah Spiller,LAC,4 out of 5 stars,4 out of 5 stars,24.2,-
Ke'Shawn Vaughn,TB,4 out of 5 stars,4 out of 5 stars,24.2,-
DeeJay Dallas,SEA,2 out of 5 stars,2 out of 5 stars,23.1,-1
JaMycal Hasty,JAC,4 out of 5 stars,4 out of 5 stars,21,-
D'Ernest Johnson,JAC,4 out of 5 stars,4 out of 5 stars,21,+18
Ameer Abdullah,LV,2 out of 5 stars,3 out of 5 stars,20,-
Tyrion Davis-Price,SF,2 out of 5 stars,3 out of 5 stars,19.8,+14
Chase Edmonds,TB,4 out of 5 stars,4 out of 5 stars,18.7,-4
Myles Gaskin,LAR,3 out of 5 stars,3 out of 5 stars,18,-
Deon Jackson,NYG,3 out of 5 stars,2 out of 5 stars,18,-42
Damien Williams,ARI,2 out of 5 stars,2 out of 5 stars,18,-
Tony Jones Jr.,NO,3 out of 5 stars,3 out of 5 stars,18,-
Israel Abanikanda,NYJ,4 out of 5 stars,4 out of 5 stars,17.6,-14
Gary Brightwell,NYG,3 out of 5 stars,2 out of 5 stars,16,-
Alec Ingold,MIA,2 out of 5 stars,2 out of 5 stars,16,-9
DeWayne McBride,MIN,5 out of 5 stars,4 out of 5 stars,15.4,-32
Ronald Jones II,FA,-,-,14.3,-14
Kene Nwangwu,MIN,5 out of 5 stars,4 out of 5 stars,14.3,-
James Robinson,GB,3 out of 5 stars,4 out of 5 stars,14.3,-32
Malik Davis,DAL,3 out of 5 stars,4 out of 5 stars,14.3,-13
Patrick Ricard,BAL,3 out of 5 stars,4 out of 5 stars,14,-15
Raheem Blackshear,CAR,3 out of 5 stars,4 out of 5 stars,13.2,-
Kyle Juszczyk,SF,2 out of 5 stars,3 out of 5 stars,13,-45
Ty Montgomery II,NE,4 out of 5 stars,3 out of 5 stars,13,-
Mike Boone,HOU,3 out of 5 stars,2 out of 5 stars,12.1,-
Kenyan Drake,FA,-,-,12.1,-
Patrick Taylor Jr.,NE,4 out of 5 stars,3 out of 5 stars,11,-
Kenny McIntosh,SEA,2 out of 5 stars,2 out of 5 stars,11,+3
Emanuel Wilson,GB,3 out of 5 stars,4 out of 5 stars,11,-
C.J. Ham,MIN,5 out of 5 stars,4 out of 5 stars,10,-36
Elijah Dotson,LAC,4 out of 5 stars,4 out of 5 stars,9.9,-29
Chris Brooks,MIA,2 out of 5 stars,2 out of 5 stars,9.9,-13
Brandon Bolden,LV,2 out of 5 stars,3 out of 5 stars,9,-
Darrynton Evans,CHI,2 out of 5 stars,3 out of 5 stars,8.8,-
Hunter Luepke,DAL,3 out of 5 stars,4 out of 5 stars,8.8,-17
Jakob Johnson,LV,2 out of 5 stars,3 out of 5 stars,8.8,-11
Michael Burton,DEN,2 out of 5 stars,2 out of 5 stars,8,-16
Keith Smith,ATL,3 out of 5 stars,5 out of 5 stars,7,-7
Khari Blasingame,CHI,2 out of 5 stars,3 out of 5 stars,6.6,-
Dare Ogunbowale,HOU,3 out of 5 stars,2 out of 5 stars,6.6,-
Nick Bawden,NYJ,4 out of 5 stars,4 out of 5 stars,6.6,-
Reggie Gilliam,BUF,2 out of 5 stars,2 out of 5 stars,6.6,-13
Kevin Harris,NE,4 out of 5 stars,3 out of 5 stars,6.6,-
Deneric Prince,KC,5 out of 5 stars,4 out of 5 stars,6.6,-56
Devine Ozigbo,DET,4 out of 5 stars,2 out of 5 stars,6.6,-
Travis Homer,CHI,2 out of 5 stars,3 out of 5 stars,6,-19
Julius Chestnut,TEN,4 out of 5 stars,2 out of 5 stars,1.1,-
Anthony McFarland Jr.,PIT,3 out of 5 stars,3 out of 5 stars,1.1,-
J.D. McKissic,FA,-,-,1.1,-
Godwin Igwebuike,PIT,3 out of 5 stars,3 out of 5 stars,1.1,-
Rex Burkhead,FA,-,-,1.1,-24
Snoop Conner,JAC,4 out of 5 stars,4 out of 5 stars,1.1,-20
Ty Johnson,BUF,2 out of 5 stars,2 out of 5 stars,1,-
Darrel Williams,FA,-,-,0,-
Mark Ingram II,FA,-,-,0,-25
Tyler Badie,DEN,2 out of 5 stars,2 out of 5 stars,0,-
Trey Sermon,IND,4 out of 5 stars,4 out of 5 stars,0,-
Dontrell Hilliard,FA,-,-,0,-
Demetric Felton Jr.,CIN,3 out of 5 stars,2 out of 5 stars,0,-
Corey Clement,ARI,2 out of 5 stars,2 out of 5 stars,0,-
Jaret Patterson,LAC,4 out of 5 stars,4 out of 5 stars,0,-
Mohamed Ibrahim,DET,4 out of 5 stars,2 out of 5 stars,0,-75
La'Mical Perine,KC,5 out of 5 stars,4 out of 5 stars,0,-
Trestan Ebner,FA,-,-,0,-
Zander Horvath,FA,-,-,0,-
J.J. Taylor,FA,-,-,0,-75
Aaron Dykes,FA,-,-,0,-
Ja'Marr Chase,CIN,4 out of 5 stars,3 out of 5 stars,198,0
Tyreek Hill,MIA,3 out of 5 stars,2 out of 5 stars,191,+2
Keenan Allen,LAC,4 out of 5 stars,4 out of 5 stars,179.3,+14
Stefon Diggs,BUF,3 out of 5 stars,3 out of 5 stars,176,+1
A.J. Brown,PHI,4 out of 5 stars,3 out of 5 stars,168,+4
CeeDee Lamb,DAL,3 out of 5 stars,4 out of 5 stars,165,-4
Amon-Ra St. Brown,DET,3 out of 5 stars,3 out of 5 stars,162,+4
Puka Nacua,LAR,2 out of 5 stars,3 out of 5 stars,161.7,+91
Cooper Kupp,LAR,2 out of 5 stars,3 out of 5 stars,161,0
Davante Adams,LV,3 out of 5 stars,4 out of 5 stars,151,-2
DK Metcalf,SEA,3 out of 5 stars,4 out of 5 stars,147.4,+1
Brandon Aiyuk,SF,2 out of 5 stars,4 out of 5 stars,141,+17
Nico Collins,HOU,4 out of 5 stars,4 out of 5 stars,140.8,+39
Mike Evans,TB,4 out of 5 stars,2 out of 5 stars,139.7,+12
Chris Olave,NO,2 out of 5 stars,2 out of 5 stars,135,0
Jaylen Waddle,MIA,3 out of 5 stars,2 out of 5 stars,135,-2
DJ Moore,CHI,4 out of 5 stars,2 out of 5 stars,134,+5
Adam Thielen,CAR,3 out of 5 stars,2 out of 5 stars,133.1,+28
DeVonta Smith,PHI,4 out of 5 stars,3 out of 5 stars,133,-3
Amari Cooper,CLE,3 out of 5 stars,4 out of 5 stars,132,-5
Chris Godwin,TB,4 out of 5 stars,2 out of 5 stars,130.9,+1
Garrett Wilson,NYJ,3 out of 5 stars,2 out of 5 stars,130.9,-17
Zay Flowers,BAL,2 out of 5 stars,3 out of 5 stars,130.9,+20
Michael Pittman Jr.,IND,3 out of 5 stars,3 out of 5 stars,130,+16
George Pickens,PIT,3 out of 5 stars,3 out of 5 stars,129.8,+6
Jordan Addison,MIN,3 out of 5 stars,3 out of 5 stars,128.7,+7
Justin Jefferson,MIN,3 out of 5 stars,3 out of 5 stars,128,-17
Tee Higgins,CIN,4 out of 5 stars,3 out of 5 stars,127.6,-17
Calvin Ridley,JAC,3 out of 5 stars,3 out of 5 stars,124,-5
Christian Kirk,JAC,3 out of 5 stars,3 out of 5 stars,119,+5
Deebo Samuel,SF,2 out of 5 stars,4 out of 5 stars,118,-12
DeAndre Hopkins,TEN,3 out of 5 stars,3 out of 5 stars,117.7,-14
Tyler Lockett,SEA,3 out of 5 stars,4 out of 5 stars,117.7,-9
Christian Watson,GB,3 out of 5 stars,3 out of 5 stars,115.5,-14
Diontae Johnson,PIT,3 out of 5 stars,3 out of 5 stars,112.2,-8
Terry McLaurin,WAS,2 out of 5 stars,3 out of 5 stars,110,-10
Drake London,ATL,5 out of 5 stars,4 out of 5 stars,110,-7
Marquise Brown,ARI,2 out of 5 stars,3 out of 5 stars,110,+2
Joshua Palmer,LAC,4 out of 5 stars,4 out of 5 stars,110,+55
Tank Dell,HOU,4 out of 5 stars,4 out of 5 stars,103.4,+34
Jakobi Meyers,LV,3 out of 5 stars,4 out of 5 stars,103,+15
Jaxon Smith-Njigba,SEA,3 out of 5 stars,4 out of 5 stars,102.3,-6
Romeo Doubs,GB,3 out of 5 stars,3 out of 5 stars,101.2,+15
Gabe Davis,BUF,3 out of 5 stars,3 out of 5 stars,101,+3
Courtland Sutton,DEN,4 out of 5 stars,4 out of 5 stars,100,-2
Josh Downs,IND,3 out of 5 stars,3 out of 5 stars,97.9,+42
Rashee Rice,KC,3 out of 5 stars,3 out of 5 stars,96.8,+19
Elijah Moore,CLE,3 out of 5 stars,4 out of 5 stars,96.8,0
Jayden Reed,GB,3 out of 5 stars,3 out of 5 stars,96.8,+21
Jerry Jeudy,DEN,4 out of 5 stars,4 out of 5 stars,96,-14
Marvin Mims Jr.,DEN,4 out of 5 stars,4 out of 5 stars,92.4,+12
Michael Thomas,NO,2 out of 5 stars,2 out of 5 stars,92,-5
Michael Wilson,ARI,2 out of 5 stars,3 out of 5 stars,90.2,+54
Jameson Williams,DET,3 out of 5 stars,3 out of 5 stars,89.1,-7
Tutu Atwell,LAR,2 out of 5 stars,3 out of 5 stars,88,-
Zay Jones,JAC,3 out of 5 stars,3 out of 5 stars,88,+8
Rashid Shaheed,NO,2 out of 5 stars,2 out of 5 stars,86,+33
Kendrick Bourne,NE,4 out of 5 stars,4 out of 5 stars,86,-
K.J. Osborn,MIN,3 out of 5 stars,3 out of 5 stars,86,+8
Tyler Boyd,CIN,4 out of 5 stars,3 out of 5 stars,85.8,-8
Quentin Johnston,LAC,4 out of 5 stars,4 out of 5 stars,85.8,-16
Brandin Cooks,DAL,3 out of 5 stars,4 out of 5 stars,84.7,-28
Josh Reynolds,DET,3 out of 5 stars,3 out of 5 stars,84,-
Robert Woods,HOU,4 out of 5 stars,4 out of 5 stars,83.6,+18
Jahan Dotson,WAS,2 out of 5 stars,3 out of 5 stars,83,-24
Curtis Samuel,WAS,2 out of 5 stars,3 out of 5 stars,82,+15
DJ Chark Jr.,CAR,3 out of 5 stars,2 out of 5 stars,81.4,-4
Jonathan Mingo,CAR,3 out of 5 stars,2 out of 5 stars,80.3,-8
Michael Gallup,DAL,3 out of 5 stars,4 out of 5 stars,80.3,-8
Wan'Dale Robinson,NYG,2 out of 5 stars,2 out of 5 stars,80,+35
Odell Beckham Jr.,BAL,2 out of 5 stars,3 out of 5 stars,76,-27
Treylon Burks,TEN,3 out of 5 stars,3 out of 5 stars,74.8,-27
Jalin Hyatt,NYG,2 out of 5 stars,2 out of 5 stars,71.5,-20
